#ndep: 2897
#depth (km)    Vs_arithmetic (km/s)    Vs_geometric (km/s)
   433.0           5.0460E+00              5.0459E+00
   434.0           5.0484E+00              5.0483E+00
   435.0           5.0508E+00              5.0507E+00
   436.0           5.0532E+00              5.0530E+00
   437.0           5.0555E+00              5.0554E+00
   438.0           5.0579E+00              5.0577E+00
   439.0           5.0602E+00              5.0600E+00
   440.0           5.0625E+00              5.0624E+00
   441.0           5.0648E+00              5.0647E+00
   442.0           5.0671E+00              5.0670E+00
   443.0           5.0694E+00              5.0692E+00
   444.0           5.0717E+00              5.0715E+00
   445.0           5.0739E+00              5.0737E+00
   446.0           5.0761E+00              5.0760E+00
   447.0           5.0784E+00              5.0782E+00
   448.0           5.0806E+00              5.0804E+00
   449.0           5.0828E+00              5.0826E+00
   450.0           5.0850E+00              5.0848E+00
   451.0           5.0872E+00              5.0870E+00
   452.0           5.0894E+00              5.0892E+00
   453.0           5.0915E+00              5.0914E+00
   454.0           5.0937E+00              5.0935E+00
   455.0           5.0958E+00              5.0957E+00
   456.0           5.0980E+00              5.0978E+00
   457.0           5.1001E+00              5.0999E+00
   458.0           5.1022E+00              5.1021E+00
   459.0           5.1043E+00              5.1042E+00
   460.0           5.1064E+00              5.1063E+00
   461.0           5.1085E+00              5.1084E+00
   462.0           5.1106E+00              5.1105E+00
   463.0           5.1127E+00              5.1125E+00
   464.0           5.1148E+00              5.1146E+00
   465.0           5.1168E+00              5.1167E+00
   466.0           5.1189E+00              5.1187E+00
   467.0           5.1210E+00              5.1208E+00
   468.0           5.1230E+00              5.1229E+00
   469.0           5.1251E+00              5.1249E+00
   470.0           5.1271E+00              5.1269E+00
   471.0           5.1291E+00              5.1290E+00
   472.0           5.1312E+00              5.1310E+00
   473.0           5.1332E+00              5.1330E+00
   474.0           5.1352E+00              5.1351E+00
   475.0           5.1373E+00              5.1371E+00
   476.0           5.1393E+00              5.1391E+00
   477.0           5.1413E+00              5.1411E+00
   478.0           5.1433E+00              5.1431E+00
   479.0           5.1453E+00              5.1451E+00
   480.0           5.1473E+00              5.1471E+00
   481.0           5.1493E+00              5.1492E+00
   482.0           5.1513E+00              5.1512E+00
   483.0           5.1533E+00              5.1532E+00
   484.0           5.1553E+00              5.1552E+00
