#ndep: 2897
#depth (km)    Vp_arithmetic (km/s)    Vp_geometric (km/s)
   483.0           9.5184E+00              9.5183E+00
   484.0           9.5225E+00              9.5224E+00
   485.0           9.5266E+00              9.5265E+00
   486.0           9.5307E+00              9.5306E+00
   487.0           9.5348E+00              9.5347E+00
   488.0           9.5389E+00              9.5389E+00
   489.0           9.5430E+00              9.5430E+00
   490.0           9.5472E+00              9.5471E+00
   491.0           9.5513E+00              9.5512E+00
   492.0           9.5554E+00              9.5553E+00
   493.0           9.5595E+00              9.5594E+00
   494.0           9.5636E+00              9.5635E+00
   495.0           9.5677E+00              9.5676E+00
   496.0           9.5718E+00              9.5718E+00
   497.0           9.5760E+00              9.5759E+00
   498.0           9.5801E+00              9.5800E+00
   499.0           9.5842E+00              9.5841E+00
   500.0           9.5884E+00              9.5883E+00
   501.0           9.5925E+00              9.5924E+00
   502.0           9.5966E+00              9.5966E+00
   503.0           9.6008E+00              9.6007E+00
   504.0           9.6049E+00              9.6049E+00
   505.0           9.6091E+00              9.6090E+00
   506.0           9.6133E+00              9.6132E+00
   507.0           9.6174E+00              9.6174E+00
   508.0           9.6216E+00              9.6215E+00
   509.0           9.6258E+00              9.6257E+00
   510.0           9.6300E+00              9.6299E+00
   511.0           9.6342E+00              9.6341E+00
   512.0           9.6384E+00              9.6383E+00
   513.0           9.6426E+00              9.6425E+00
   514.0           9.6469E+00              9.6468E+00
   515.0           9.6511E+00              9.6510E+00
   516.0           9.6553E+00              9.6553E+00
   517.0           9.6596E+00              9.6595E+00
   518.0           9.6639E+00              9.6638E+00
   519.0           9.6681E+00              9.6681E+00
   520.0           9.6724E+00              9.6723E+00
   521.0           9.6767E+00              9.6766E+00
   522.0           9.6810E+00              9.6809E+00
   523.0           9.6854E+00              9.6853E+00
   524.0           9.6897E+00              9.6896E+00
   525.0           9.6940E+00              9.6939E+00
   526.0           9.6984E+00              9.6983E+00
   527.0           9.7028E+00              9.7027E+00
   528.0           9.7071E+00              9.7071E+00
   529.0           9.7115E+00              9.7114E+00
   530.0           9.7159E+00              9.7158E+00
   531.0           9.7203E+00              9.7203E+00
   532.0           9.7248E+00              9.7247E+00
   533.0           9.7292E+00              9.7291E+00
