#ndep: 2897
#depth (km)    Vs_arithmetic (km/s)    Vs_geometric (km/s)
   477.0           5.1406E+00              5.1404E+00
   478.0           5.1426E+00              5.1424E+00
   479.0           5.1446E+00              5.1444E+00
   480.0           5.1466E+00              5.1464E+00
   481.0           5.1486E+00              5.1484E+00
   482.0           5.1506E+00              5.1504E+00
   483.0           5.1526E+00              5.1524E+00
   484.0           5.1546E+00              5.1544E+00
   485.0           5.1566E+00              5.1564E+00
   486.0           5.1586E+00              5.1584E+00
   487.0           5.1606E+00              5.1604E+00
   488.0           5.1626E+00              5.1624E+00
   489.0           5.1646E+00              5.1644E+00
   490.0           5.1666E+00              5.1664E+00
   491.0           5.1686E+00              5.1684E+00
   492.0           5.1706E+00              5.1705E+00
   493.0           5.1726E+00              5.1725E+00
   494.0           5.1747E+00              5.1745E+00
   495.0           5.1767E+00              5.1765E+00
   496.0           5.1787E+00              5.1785E+00
   497.0           5.1807E+00              5.1806E+00
   498.0           5.1828E+00              5.1826E+00
   499.0           5.1848E+00              5.1847E+00
   500.0           5.1869E+00              5.1867E+00
   501.0           5.1889E+00              5.1888E+00
   502.0           5.1910E+00              5.1908E+00
   503.0           5.1930E+00              5.1929E+00
   504.0           5.1951E+00              5.1949E+00
   505.0           5.1972E+00              5.1970E+00
   506.0           5.1993E+00              5.1991E+00
   507.0           5.2013E+00              5.2012E+00
   508.0           5.2034E+00              5.2033E+00
   509.0           5.2055E+00              5.2054E+00
   510.0           5.2076E+00              5.2075E+00
   511.0           5.2097E+00              5.2096E+00
   512.0           5.2119E+00              5.2117E+00
   513.0           5.2140E+00              5.2138E+00
   514.0           5.2161E+00              5.2159E+00
   515.0           5.2182E+00              5.2181E+00
   516.0           5.2204E+00              5.2202E+00
   517.0           5.2225E+00              5.2224E+00
   518.0           5.2247E+00              5.2245E+00
   519.0           5.2268E+00              5.2267E+00
   520.0           5.2290E+00              5.2288E+00
   521.0           5.2312E+00              5.2310E+00
   522.0           5.2333E+00              5.2332E+00
   523.0           5.2355E+00              5.2354E+00
   524.0           5.2377E+00              5.2375E+00
