#ndep: 2897
#depth (km)   Rho_arithmetic (g/cm^3)   Rho_geometric (g/cm^3)
   270.0           3.4697E+00              3.4697E+00
   271.0           3.4703E+00              3.4703E+00
   272.0           3.4709E+00              3.4709E+00
   273.0           3.4715E+00              3.4715E+00
   274.0           3.4721E+00              3.4721E+00
   275.0           3.4727E+00              3.4727E+00
   276.0           3.4734E+00              3.4734E+00
   277.0           3.4740E+00              3.4740E+00
   278.0           3.4746E+00              3.4746E+00
   279.0           3.4752E+00              3.4752E+00
   280.0           3.4758E+00              3.4758E+00
   281.0           3.4764E+00              3.4764E+00
   282.0           3.4770E+00              3.4770E+00
   283.0           3.4776E+00              3.4776E+00
   284.0           3.4782E+00              3.4782E+00
   285.0           3.4788E+00              3.4788E+00
   286.0           3.4794E+00              3.4794E+00
   287.0           3.4800E+00              3.4800E+00
   288.0           3.4806E+00              3.4806E+00
   289.0           3.4812E+00              3.4812E+00
   290.0           3.4818E+00              3.4818E+00
   291.0           3.4824E+00              3.4824E+00
   292.0           3.4830E+00              3.4830E+00
   293.0           3.4836E+00              3.4836E+00
   294.0           3.4842E+00              3.4842E+00
   295.0           3.4848E+00              3.4848E+00
   296.0           3.4854E+00              3.4854E+00
   297.0           3.4860E+00              3.4860E+00
   298.0           3.4866E+00              3.4866E+00
   299.0           3.4872E+00              3.4872E+00
   300.0           3.4878E+00              3.4878E+00
   301.0           3.4884E+00              3.4884E+00
   302.0           3.4890E+00              3.4890E+00
   303.0           3.4896E+00              3.4896E+00
   304.0           3.4902E+00              3.4902E+00
   305.0           3.4908E+00              3.4908E+00
   306.0           3.4914E+00              3.4914E+00
   307.0           3.4921E+00              3.4921E+00
   308.0           3.4927E+00              3.4927E+00
   309.0           3.4933E+00              3.4933E+00
   310.0           3.4939E+00              3.4939E+00
   311.0           3.4945E+00              3.4945E+00
   312.0           3.4951E+00              3.4951E+00
   313.0           3.4957E+00              3.4957E+00
   314.0           3.4963E+00              3.4963E+00
   315.0           3.4969E+00              3.4969E+00
   316.0           3.4976E+00              3.4976E+00
   317.0           3.4982E+00              3.4982E+00
   318.0           3.4988E+00              3.4988E+00
   319.0           3.4994E+00              3.4994E+00
   320.0           3.5000E+00              3.5000E+00
   321.0           3.5006E+00              3.5006E+00
   322.0           3.5012E+00              3.5012E+00
   323.0           3.5018E+00              3.5018E+00
   324.0           3.5025E+00              3.5025E+00
   325.0           3.5031E+00              3.5031E+00
   326.0           3.5037E+00              3.5037E+00
   327.0           3.5043E+00              3.5043E+00
   328.0           3.5049E+00              3.5049E+00
   329.0           3.5055E+00              3.5055E+00
   330.0           3.5061E+00              3.5061E+00
   331.0           3.5067E+00              3.5067E+00
   332.0           3.5073E+00              3.5073E+00
   333.0           3.5079E+00              3.5079E+00
   334.0           3.5085E+00              3.5085E+00
   335.0           3.5092E+00              3.5092E+00
   336.0           3.5098E+00              3.5098E+00
   337.0           3.5104E+00              3.5104E+00
   338.0           3.5110E+00              3.5110E+00
   339.0           3.5116E+00              3.5116E+00
   340.0           3.5122E+00              3.5122E+00
   341.0           3.5128E+00              3.5128E+00
   342.0           3.5134E+00              3.5134E+00
   343.0           3.5140E+00              3.5140E+00
   344.0           3.5146E+00              3.5146E+00
   345.0           3.5152E+00              3.5152E+00
   346.0           3.5158E+00              3.5158E+00
   347.0           3.5164E+00              3.5164E+00
   348.0           3.5170E+00              3.5170E+00
   349.0           3.5176E+00              3.5176E+00
   350.0           3.5182E+00              3.5182E+00
   351.0           3.5188E+00              3.5188E+00
   352.0           3.5194E+00              3.5194E+00
   353.0           3.5200E+00              3.5200E+00
   354.0           3.5205E+00              3.5205E+00
   355.0           3.5211E+00              3.5211E+00
   356.0           3.5217E+00              3.5217E+00
   357.0           3.5223E+00              3.5223E+00
   358.0           3.5229E+00              3.5229E+00
   359.0           3.5235E+00              3.5235E+00
   360.0           3.5241E+00              3.5241E+00
   361.0           3.5246E+00              3.5246E+00
   362.0           3.5252E+00              3.5252E+00
   363.0           3.5258E+00              3.5258E+00
   364.0           3.5264E+00              3.5264E+00
   365.0           3.5269E+00              3.5269E+00
   366.0           3.5275E+00              3.5275E+00
   367.0           3.5281E+00              3.5281E+00
   368.0           3.5286E+00              3.5286E+00
   369.0           3.5292E+00              3.5292E+00
   370.0           3.5298E+00              3.5298E+00
   371.0           3.5303E+00              3.5303E+00
   372.0           3.5309E+00              3.5309E+00
   373.0           3.5315E+00              3.5315E+00
   374.0           3.5320E+00              3.5320E+00
   375.0           3.5326E+00              3.5326E+00
   376.0           3.5331E+00              3.5331E+00
   377.0           3.5337E+00              3.5337E+00
   378.0           3.5342E+00              3.5342E+00
   379.0           3.5348E+00              3.5348E+00
   380.0           3.5353E+00              3.5353E+00
   381.0           3.5359E+00              3.5359E+00
   382.0           3.5364E+00              3.5364E+00
   383.0           3.5369E+00              3.5369E+00
   384.0           3.5375E+00              3.5375E+00
   385.0           3.5380E+00              3.5380E+00
   386.0           3.5385E+00              3.5385E+00
   387.0           3.5391E+00              3.5391E+00
   388.0           3.5396E+00              3.5396E+00
   389.0           3.5401E+00              3.5401E+00
   390.0           3.5406E+00              3.5406E+00
   391.0           3.5412E+00              3.5412E+00
   392.0           3.5417E+00              3.5417E+00
   393.0           3.5422E+00              3.5422E+00
   394.0           3.5427E+00              3.5427E+00
   395.0           3.5432E+00              3.5432E+00
   396.0           3.5437E+00              3.5437E+00
   397.0           3.5442E+00              3.5442E+00
   398.0           3.5447E+00              3.5447E+00
   399.0           3.5452E+00              3.5452E+00
   400.0           3.5457E+00              3.5457E+00
   401.0           3.5462E+00              3.5462E+00
   402.0           3.5467E+00              3.5467E+00
   403.0           3.5472E+00              3.5472E+00
   404.0           3.5477E+00              3.5477E+00
   405.0           3.5481E+00              3.5481E+00
   406.0           3.5486E+00              3.5486E+00
   407.0           3.5491E+00              3.5491E+00
   408.0           3.5496E+00              3.5496E+00
   409.0           3.5500E+00              3.5500E+00
   410.0           3.5505E+00              3.5505E+00
   411.0           3.7389E+00              3.7389E+00
   412.0           3.7404E+00              3.7404E+00
   413.0           3.7419E+00              3.7419E+00
   414.0           3.7433E+00              3.7433E+00
   415.0           3.7448E+00              3.7448E+00
